n_reinas,epochs,best_cost,schedule
84,37234,0,"{'tmax': 75.0, 'tmin': 0.049, 'steps': 41000, 'updates': 100}"
84,41000,1,"{'tmax': 74.0, 'tmin': 0.073, 'steps': 41000, 'updates': 100}"
84,39953,0,"{'tmax': 74.0, 'tmin': 0.11, 'steps': 40000, 'updates': 100}"
84,38071,0,"{'tmax': 50.0, 'tmin': 0.073, 'steps': 41000, 'updates': 100}"
85,40000,2,"{'tmax': 74.0, 'tmin': 0.11, 'steps': 40000, 'updates': 100}"
85,38269,0,"{'tmax': 50.0, 'tmin': 0.073, 'steps': 40000, 'updates': 100}"
85,34043,0,"{'tmax': 50.0, 'tmin': 0.049, 'steps': 40000, 'updates': 100}"
85,33753,0,"{'tmax': 50.0, 'tmin': 0.049, 'steps': 40000, 'updates': 100}"
85,40000,2,"{'tmax': 50.0, 'tmin': 0.17, 'steps': 40000, 'updates': 100}"
86,38582,0,"{'tmax': 49.0, 'tmin': 0.073, 'steps': 39000, 'updates': 100}"
86,37736,0,"{'tmax': 50.0, 'tmin': 0.11, 'steps': 39000, 'updates': 100}"
86,31594,0,"{'tmax': 50.0, 'tmin': 0.049, 'steps': 39000, 'updates': 100}"
86,39000,1,"{'tmax': 49.0, 'tmin': 0.17, 'steps': 39000, 'updates': 100}"
86,38505,0,"{'tmax': 50.0, 'tmin': 0.11, 'steps': 39000, 'updates': 100}"
87,37069,0,"{'tmax': 50.0, 'tmin': 0.11, 'steps': 38000, 'updates': 100}"
87,37899,0,"{'tmax': 50.0, 'tmin': 0.073, 'steps': 38000, 'updates': 100}"
87,34598,0,"{'tmax': 50.0, 'tmin': 0.073, 'steps': 38000, 'updates': 100}"
87,39000,1,"{'tmax': 74.0, 'tmin': 0.11, 'steps': 39000, 'updates': 100}"
87,38000,1,"{'tmax': 50.0, 'tmin': 0.11, 'steps': 38000, 'updates': 100}"
88,35333,0,"{'tmax': 50.0, 'tmin': 0.073, 'steps': 37000, 'updates': 100}"
88,35505,0,"{'tmax': 74.0, 'tmin': 0.11, 'steps': 37000, 'updates': 100}"
88,35351,0,"{'tmax': 50.0, 'tmin': 0.11, 'steps': 38000, 'updates': 100}"
